pedido_id,latitud,longitud,distrito,peso_kg,tipo_producto
1a0375e2-e06c-4a01-be0b-243d06e55a3e,-12.160679723279722,-77.17226576634049,Jessicachester,11.63,Libros
2d1bb7bb-e73f-459e-8361-d6631301f406,-11.914193349466407,-76.81629801438838,North Samantha,2.75,Electrónica
fa335fb8-b559-426d-a3d1-ecbc7f43f5ab,-12.031528912501136,-76.97583691546372,Riosstad,1.8,Libros
8ecfbf88-b0f9-45bf-b974-a9bbad9b2121,-12.192398483615591,-76.8783058620281,South Howardport,1.75,Ropa
5decb67b-4839-48cb-a86d-860990aa8adc,-11.952974325432864,-76.89890214437784,North Andrew,17.16,Ropa
c2ecda5f-bcea-4369-8c35-cc7fe53277cd,-12.128066932555566,-77.1098695930352,North Benjamintown,6.61,Libros
40d374ce-92e7-4fb6-af66-2bad24169a74,-12.096588593902755,-77.01460928227988,Baileyberg,14.81,Alimentos
7999c21c-94d0-421c-a1c2-ed16690f13f8,-11.953617294119905,-76.87371126220323,New Robert,10.97,Ropa
dbfc51b4-4dec-44b3-9d6f-3ae90499b176,-12.151649385113673,-76.88261418925553,New Ethanville,1.2,Alimentos
eb7d4364-a872-4991-b129-4403d334d536,-11.913605307400964,-76.98502531680603,Michaelbury,8.72,Ropa
a11f8f7e-0c60-48f6-9bff-720f641d213f,-12.036988719147654,-77.18043700048541,Port Sarahfort,10.09,Ropa
49034b2f-7a2f-46e9-b093-d7b3da0e0ce6,-12.001447963112879,-77.09297213683152,West Katherine,6.54,Alimentos
bbf678f5-68ee-49ca-8a65-ca90ccc376ce,-11.902795531351792,-77.16120439765704,Jeanetteshire,10.86,Alimentos
76b51709-8163-4acb-b352-2e15d40df698,-11.949415291452663,-77.11269471452569,Jeffreyshire,2.67,Libros
17d079fd-0a82-4889-96d5-2f03d51eeef8,-12.167700801829172,-77.16910596155513,Port Cynthia,2.49,Alimentos
4240da4c-5d06-43fb-9310-063e0ed2cbb8,-12.04477531480581,-77.1991758389019,South Timothyland,18.86,Alimentos
d3da9c3c-76f6-4db9-9631-f9b7f1b61bf1,-12.046847059918406,-77.1448436710096,Port Johnport,10.43,Alimentos
a873a7f1-a935-42ed-acce-c15b63b02de4,-11.92121270460192,-76.8021554983165,Maryshire,11.57,Alimentos
837dee39-b687-4763-bdd7-dfaa44bfae24,-12.087596647368677,-77.08867799005485,Lake Vanessa,10.2,Electrónica
4d234f0c-90d0-4bed-bbc6-c1addee53417,-12.095884635666723,-77.00009975165123,Marshallburgh,12.97,Libros
08e40218-175b-464a-a258-40446ae825d5,-12.180295019619356,-76.83872750523614,Port Phillipview,17.16,Libros
acebd0a1-ed27-4d39-b212-27145f70f1b5,-11.943352219896626,-76.89782709741984,West Angelamouth,13.63,Alimentos
a17da076-fa19-4eb5-8ca9-f0cbfdbecee3,-11.927381055648308,-76.8637684323763,West Collinmouth,13.04,Ropa
553491fd-d8c4-4f6c-8617-4726a5587d42,-12.04797450707707,-77.13310190984492,West Tyrone,16.21,Alimentos
967f7c8c-4a6b-42aa-9b0d-78f8a2a3b8ec,-12.010181890166482,-77.1454452908929,Port Garrett,7.63,Electrónica
87e1a933-4e95-4ded-9fab-b657eb246aaf,-12.111643346588949,-77.01045791327473,Kevinborough,13.31,Alimentos
89a1043b-f16d-46ef-9722-c5d0100f2bad,-11.924267842574691,-77.18112108601989,Lake Michellechester,7.41,Alimentos
e2d5686f-82dc-40e0-ab91-29f1dce24d30,-12.150185020027536,-77.18357731007585,West Tara,17.07,Alimentos
a34b716b-30f1-4d35-9193-53995b691de0,-11.917078627961214,-77.0302444231066,Mckinneyfurt,8.71,Alimentos
0bfbc5f5-d03b-4fa3-a4d5-46d3136e334e,-11.938059135023883,-77.10152806134886,Fletchermouth,2.3,Electrónica
20509cc4-9567-4b41-b941-e05e6f6c6b43,-12.167800346072056,-77.04026957371875,Torresmouth,1.28,Ropa
61b6ce55-a967-408d-8c75-12de153bbd1b,-12.055538979668752,-76.86724851198416,West Brianchester,4.39,Libros
1cace9ad-058c-4724-a60a-37186019dc6f,-11.922879422395502,-77.02718212697496,Booneborough,8.54,Alimentos
f4c1be01-4cf9-4a4a-a68e-dfba5c76597c,-11.93432287348584,-77.15750915125606,East Erik,0.93,Libros
277d0e9d-db64-402b-be64-c2cc0469f553,-12.145432325183272,-76.96394670507829,Port Erik,11.88,Alimentos
ef7ee388-fd8a-4789-8175-7dbe70e16bbc,-12.149467113029575,-76.97142387089364,West Jacobville,14.07,Ropa
34d2dc10-6893-49ef-9241-52fd370bcfea,-11.955064054883934,-77.19294496124814,Cynthiaville,3.36,Libros
5c84bec0-6727-436f-a6bd-7c00d381c58b,-12.117040509373616,-77.09506888412096,Millerside,10.73,Libros
7447d984-dd60-4a4a-a7f8-20c0fa98e69d,-11.979332638128994,-77.0952350081239,South Victor,5.39,Electrónica
762e5c14-07ca-41a4-8084-1725ea092967,-11.973999820476417,-77.11546742031614,Smithchester,14.84,Ropa
e8243581-6c5b-4eff-9089-e25478ab6ee5,-12.054602150545287,-77.10716486008717,Allisontown,18.8,Alimentos
